t_s,T20_C,T30_C
1.679000000000000000e+03,5.198172208411853568e+00,7.619242025158172282e+00
1.680000000000000000e+03,5.194153236933742868e+00,7.613299248579553868e+00
1.681000000000000000e+03,5.190137431946424407e+00,7.607361233667869094e+00
1.682000000000000000e+03,5.186124790864906409e+00,7.601427976415343402e+00
1.683000000000000000e+03,5.182115311106444189e+00,7.595499472817808240e+00
1.684000000000000000e+03,5.178108990090557029e+00,7.589575718874808530e+00
1.685000000000000000e+03,5.174105825238985545e+00,7.583656710589514738e+00
1.686000000000000000e+03,5.170105813975711229e+00,7.577742443968753072e+00
1.687000000000000000e+03,5.166108953726970654e+00,7.571832915022988608e+00
1.688000000000000000e+03,5.162115241921217290e+00,7.565928119766352822e+00
1.689000000000000000e+03,5.158124675989147256e+00,7.560028054216594740e+00
1.690000000000000000e+03,5.154137253363685112e+00,7.554132714395104919e+00
1.691000000000000000e+03,5.150152971479991848e+00,7.548242096326900352e+00
1.692000000000000000e+03,5.146171827775437357e+00,7.542356196040651106e+00
1.693000000000000000e+03,5.142193819689627965e+00,7.536475009568625261e+00
1.694000000000000000e+03,5.138218944664410870e+00,7.530598532946732426e+00
1.695000000000000000e+03,5.134247200143811973e+00,7.524726762214459796e+00
1.696000000000000000e+03,5.130278583574130913e+00,7.518859693414985834e+00
1.697000000000000000e+03,5.126313092403825600e+00,7.512997322595013294e+00
1.698000000000000000e+03,5.122350724083609030e+00,7.507139645804898009e+00
1.699000000000000000e+03,5.118391476066386225e+00,7.501286659098590270e+00
1.700000000000000000e+03,5.114435345807289757e+00,7.495438358533625944e+00
1.701000000000000000e+03,5.110482330763630010e+00,7.489594740171156673e+00
1.702000000000000000e+03,5.106532428394964462e+00,7.483755800075906350e+00
1.703000000000000000e+03,5.102585636163015081e+00,7.477921534316196883e+00
1.704000000000000000e+03,5.098641951531733163e+00,7.472091938963937530e+00
1.705000000000000000e+03,5.094701371967248704e+00,7.466267010094625789e+00
1.706000000000000000e+03,5.090763894937904155e+00,7.460446743787294999e+00
1.707000000000000000e+03,5.086829517914233101e+00,7.454631136124602264e+00
1.708000000000000000e+03,5.082898238368958488e+00,7.448820183192748523e+00
1.709000000000000000e+03,5.078970053777005056e+00,7.443013881081486538e+00
1.710000000000000000e+03,5.075044961615486905e+00,7.437212225884157313e+00
1.711000000000000000e+03,5.071122959363670191e+00,7.431415213697659894e+00
1.712000000000000000e+03,5.067204044503054838e+00,7.425622840622417620e+00
1.713000000000000000e+03,5.063288214517291053e+00,7.419835102762457169e+00
1.714000000000000000e+03,5.059375466892228168e+00,7.414051996225291319e+00
1.715000000000000000e+03,5.055465799115882675e+00,7.408273517122021090e+00
1.716000000000000000e+03,5.051559208678449764e+00,7.402499661567264688e+00
