t_s,T20_C,T30_C
1.684000000000000000e+03,4.624038573170096811e+00,2.564413446150907827e+00
1.685000000000000000e+03,4.620192724054465572e+00,2.560984480858671475e+00
1.686000000000000000e+03,4.616350128618633697e+00,2.557560148993503812e+00
1.687000000000000000e+03,4.612510784019581145e+00,2.554140444103478735e+00
1.688000000000000000e+03,4.608674687416943527e+00,2.550725359870721132e+00
1.689000000000000000e+03,4.604841835972957043e+00,2.547314889862882126e+00
1.690000000000000000e+03,4.601012226852527753e+00,2.543909027779067689e+00
1.691000000000000000e+03,4.597185857223148098e+00,2.540507767206410694e+00
1.692000000000000000e+03,4.593362724254945739e+00,2.537111101860968443e+00
1.693000000000000000e+03,4.589542825120640046e+00,2.533719025349292941e+00
1.694000000000000000e+03,4.585726156995630909e+00,2.530331531404350187e+00
1.695000000000000000e+03,4.581912717057853968e+00,2.526948613652026054e+00
1.696000000000000000e+03,4.578102502487909398e+00,2.523570265842181914e+00
1.697000000000000000e+03,4.574295510468956216e+00,2.520196481619927376e+00
1.698000000000000000e+03,4.570491738186825970e+00,2.516827254751996534e+00
1.699000000000000000e+03,4.566691182829878848e+00,2.513462578902680544e+00
1.700000000000000000e+03,4.562893841589131583e+00,2.510102447855525387e+00
1.701000000000000000e+03,4.559099711658156195e+00,2.506746855293918941e+00
1.702000000000000000e+03,4.555308790233144833e+00,2.503395795018192871e+00
1.703000000000000000e+03,4.551521074512868914e+00,2.500049260730751843e+00
1.704000000000000000e+03,4.547736561698703994e+00,2.496707246248708323e+00
1.705000000000000000e+03,4.543955248994580032e+00,2.493369745293382511e+00
1.706000000000000000e+03,4.540177133607052440e+00,2.490036751698613049e+00
1.707000000000000000e+03,4.536402212745218598e+00,2.486708259204602367e+00
1.708000000000000000e+03,4.532630483620788908e+00,2.483384261661873538e+00
1.709000000000000000e+03,4.528861943448014848e+00,2.480064752829411301e+00
1.710000000000000000e+03,4.525096589443749373e+00,2.476749726574416499e+00
1.711000000000000000e+03,4.521334418827406054e+00,2.473439176674574469e+00
1.712000000000000000e+03,4.517575428820959971e+00,2.470133097013720302e+00
1.713000000000000000e+03,4.513819616648961031e+00,2.466831481388166658e+00
1.714000000000000000e+03,4.510066979538519760e+00,2.463534323698352235e+00
1.715000000000000000e+03,4.506317514719293094e+00,2.460241617759153954e+00
1.716000000000000000e+03,4.502571219423536775e+00,2.456953357487581702e+00
1.717000000000000000e+03,4.498828090885998776e+00,2.453669536716994948e+00
1.718000000000000000e+03,4.495088126344040091e+00,2.450390149380931692e+00
1.719000000000000000e+03,4.491351323037528154e+00,2.447115189331168228e+00
1.720000000000000000e+03,4.487617678208904337e+00,2.443844650517736028e+00
1.721000000000000000e+03,4.483887189103133331e+00,2.440578526810756266e+00
1.722000000000000000e+03,4.480159852967750211e+00,2.437316812176743230e+00
1.723000000000000000e+03,4.476435667052784062e+00,2.434059500504072826e+00
1.724000000000000000e+03,4.472714628610869880e+00,2.430806585775679984e+00
1.725000000000000000e+03,4.468996734897104695e+00,2.427558061898151376e+00
1.726000000000000000e+03,4.465281983169154145e+00,2.424313922870824367e+00
1.727000000000000000e+03,4.461570370687217846e+00,2.421074162618406689e+00
1.728000000000000000e+03,4.457861894714009843e+00,2.417838775156589293e+00
1.729000000000000000e+03,4.454156552514771050e+00,2.414607754428152564e+00
1.730000000000000000e+03,4.450454341357273691e+00,2.411381094465109509e+00
1.731000000000000000e+03,4.446755258511775999e+00,2.408158789228218577e+00
1.732000000000000000e+03,4.443059301251105708e+00,2.404940832765802394e+00
1.733000000000000000e+03,4.439366466850553472e+00,2.401727219056533968e+00
1.734000000000000000e+03,4.435676752587951910e+00,2.398517942164986483e+00
1.735000000000000000e+03,4.431990155743627646e+00,2.395312996087695989e+00
1.736000000000000000e+03,4.428306673600433285e+00,2.392112374905442707e+00
1.737000000000000000e+03,4.424626303443695008e+00,2.388916072632545351e+00
