source,system,domain,protocol,protocol_value,x_name,x,obs_name,obs
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.07,distance_to_equilibrium_D,1.06726191043853
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.08,distance_to_equilibrium_D,1.06448414325714
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.09,distance_to_equilibrium_D,1.05654759407043
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.1,distance_to_equilibrium_D,1.05297617912292
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.11,distance_to_equilibrium_D,1.05178570747375
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.12,distance_to_equilibrium_D,1.04980158805847
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.13,distance_to_equilibrium_D,1.04742064476013
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.14,distance_to_equilibrium_D,1.04503970146179
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.15,distance_to_equilibrium_D,1.04464287757873
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.16,distance_to_equilibrium_D,1.04027781486511
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.17,distance_to_equilibrium_D,1.03452379703521
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.18,distance_to_equilibrium_D,1.03075397014617
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.19,distance_to_equilibrium_D,1.02559525966644
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.2,distance_to_equilibrium_D,1.02480161190033
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.21,distance_to_equilibrium_D,1.01984131336212
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.22,distance_to_equilibrium_D,1.01607141494751
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.23,distance_to_equilibrium_D,1.01686506271362
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.24,distance_to_equilibrium_D,1.0125
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.25,distance_to_equilibrium_D,1.01448411941528
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.26,distance_to_equilibrium_D,1.0125
