t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.31,0.6286181539,0.5679780242,0.008292981855,0.2569455456,0.2131799512,0.0001103355179
0.3125,0.6285860638,0.567913109,0.007435463353,0.256873395,0.2131586097,0.0001171191457
0.315,0.6285544994,0.5679281834,0.007926184174,0.2568462982,0.2131221251,9.420477676e-05
0.3175,0.6284589665,0.5678955831,0.008749043507,0.2568275444,0.2130766149,0.0001071040266
0.32,0.6283790303,0.5678518703,0.008017483411,0.2567664944,0.2130682786,0.0001205572472
0.3225,0.6283718514,0.5678355496,0.00857409339,0.2567442502,0.2130503355,0.0001142064582
0.325,0.6282802474,0.5677759962,0.008879104611,0.2567026462,0.2130098131,0.0001057316954
0.3275,0.6282818217,0.5676676743,0.009324993038,0.2566678404,0.2129797706,0.0001320484712
0.33,0.6282570255,0.5675623551,0.009654126885,0.2566418228,0.2129531211,0.0001121109488
0.3325,0.6281864994,0.5674861798,0.009683042541,0.2565998688,0.2128789845,0.0001656143986
0.335,0.6281082474,0.56740717,0.008992891244,0.2565369366,0.2128398762,0.0001088609384
0.3375,0.6280549362,0.5673954845,0.009916211765,0.2565093092,0.2127779473,0.0001440056555
0.34,0.6280733036,0.5673415385,0.006961614362,0.256503814,0.2127681255,7.967178037e-05
0.3425,0.6279840774,0.5672808542,0.008674085617,0.2564634706,0.212749034,9.91922053e-05
0.345,0.6279754549,0.5672626979,0.006195462539,0.2564146675,0.2127083131,9.628223971e-05
0.3475,0.6278861798,0.5671797193,0.008372336966,0.2563946199,0.2127034158,0.0001039345833
0.35,0.6277834845,0.5671264508,0.007165190345,0.2563402033,0.212632274,0.0001012450887
0.3525,0.6277042301,0.5671123124,0.008008495936,0.2563070206,0.212642932,0.0001130277369
0.355,0.6277243395,0.5670297127,0.008349747165,0.2562501092,0.212631837,0.000108682114
0.3575,0.6276782675,0.5670058066,0.007481543159,0.2562045448,0.2125589714,0.0001303971348
0.36,0.6276202539,0.5669803157,0.008428021334,0.256172086,0.2125284083,0.0001110567838
0.3625,0.6275830068,0.5668877293,0.007670872709,0.2561389401,0.2124843503,9.427655755e-05
0.365,0.6275555672,0.5669011123,0.009838278228,0.2561176544,0.212481106,0.0001299167684
0.3675,0.6275648542,0.566851464,0.007141819333,0.2561086265,0.2124422112,9.194901485e-05
0.37,0.6275296171,0.5667093442,0.008660036397,0.2560863432,0.2124066232,0.0001037906133
0.3725,0.6274402474,0.5666710303,0.007671886651,0.2559930311,0.21242194,0.0001062416167
0.375,0.6274176171,0.5666138777,0.007662133534,0.2560013241,0.2123828121,8.826498821e-05
0.3775,0.6273096171,0.5665707566,0.00975502523,0.2559482828,0.2123155531,0.000127488873
0.38,0.6272836307,0.5665695741,0.008249684896,0.2559019167,0.2123135002,0.0001307706297
0.3825,0.6271934709,0.5665034131,0.008741207031,0.2558651457,0.212265834,0.0001088358607
0.385,0.6271673715,0.566449109,0.008717214574,0.2558595177,0.2122388526,0.0001078628367
0.3875,0.6270844088,0.5664516405,0.008576720023,0.2557694825,0.2122120728,0.0001163601626
0.39,0.6270448878,0.5663610374,0.007093001605,0.2557317936,0.2121691654,9.426868974e-05
0.3925,0.6269714672,0.5662694969,0.006911804382,0.2557118269,0.2121186286,0.000105259598
0.395,0.6269636405,0.5662429972,0.008052534765,0.2556894941,0.2120503842,0.0001009378349
0.3975,0.6269734504,0.5661781798,0.007230131822,0.2556719041,0.2120334489,9.941279366e-05
0.4,0.6268782338,0.5661310303,0.008620036849,0.2556347126,0.2119916027,0.0001138941468
0.4025,0.6267984225,0.5660756307,0.008918942925,0.2555892957,0.2119686067,0.0001214738527
0.405,0.6267666124,0.5660337289,0.007954830916,0.2555201547,0.2119431581,0.0001172296982
0.4075,0.6266936171,0.5659944137,0.008041274609,0.2554835254,0.2119192318,9.963117147e-05
0.41,0.6265984137,0.5660165126,0.00766500634,0.2554661457,0.2119305172,8.500402575e-05
0.4125,0.6265590391,0.5659294808,0.007958930085,0.2554181135,0.2119033147,0.0001056302488
0.415,0.6264826979,0.5658928542,0.01024372005,0.2553884813,0.2118750251,0.0001392244722
0.4175,0.626450445,0.5658572254,0.008169203803,0.2553332246,0.2117916629,0.0001138331004
0.42,0.626412734,0.5658100099,0.007660750946,0.2553059389,0.2117520323,0.0001153674196
0.4225,0.6263638169,0.5657754047,0.008119085282,0.2552742716,0.2117378849,0.0001014345141
0.425,0.6263368362,0.5656897127,0.005582569226,0.2552668318,0.211700764,0.0001005083329
0.4275,0.6262404415,0.5656576171,0.008247708151,0.2552098709,0.2116561762,0.0001215462905
0.43,0.6262122474,0.5656020873,0.00676495109,0.2551690764,0.2116313415,0.0001023672995
0.4325,0.6261704137,0.5655116578,0.007362643088,0.2551439103,0.2115720782,0.0001065981571
0.435,0.6261356307,0.5655212387,0.008505855655,0.2551067323,0.211564102,0.0001291140168
0.4375,0.6261176508,0.5654624137,0.008768361476,0.2551023942,0.2115575813,0.0001202575913
0.44,0.6260600083,0.5654264137,0.00691545987,0.2550482573,0.2115052644,9.168918753e-05
0.4425,0.6260388604,0.5653904137,0.007695118393,0.2550205339,0.2114893342,0.0001254600031
0.445,0.6260116578,0.5653975455,0.008855730332,0.2549633803,0.2114928609,0.0001020727229
0.4475,0.6259310173,0.5652784137,0.007957538483,0.2549350233,0.2114130163,0.0001049941851
0.45,0.6258970374,0.5652700452,0.008155537981,0.2549020451,0.2113931352,0.0001146719786
0.4525,0.6258362539,0.5652522062,0.007082214817,0.254850272,0.2113708656,0.0001093853696
