t,T,a2
5.32,0.2201170347,-0.02657073179
5.33,0.2196826655,-0.02657360295
5.34,0.2192495811,-0.02657644298
5.35,0.2188177763,-0.02657925226
5.36,0.2183872462,-0.02658203113
5.37,0.2179579856,-0.02658477996
5.38,0.2175299896,-0.0265874991
5.39,0.2171032533,-0.02659018891
5.4,0.2166777717,-0.02659284973
5.41,0.2162535398,-0.02659548189
5.42,0.2158305529,-0.02659808574
5.43,0.2154088059,-0.0266006616
5.44,0.2149882942,-0.02660320981
5.45,0.2145690128,-0.02660573068
5.46,0.2141509569,-0.02660822454
5.47,0.2137341219,-0.02661069171
5.48,0.2133185029,-0.02661313249
5.49,0.2129040951,-0.02661554718
5.5,0.212490894,-0.02661793611
5.51,0.2120788948,-0.02662029955
5.52,0.2116680929,-0.02662263782
5.53,0.2112584836,-0.0266249512
5.54,0.2108500623,-0.02662723998
5.55,0.2104428244,-0.02662950445
5.56,0.2100367654,-0.02663174488
5.57,0.2096318806,-0.02663396156
5.58,0.2092281657,-0.02663615476
5.59,0.208825616,-0.02663832475
5.6,0.2084242271,-0.0266404718
5.61,0.2080239945,-0.02664259618
5.62,0.2076249139,-0.02664469813
5.63,0.2072269807,-0.02664677793
5.64,0.2068301905,-0.02664883582
5.65,0.2064345391,-0.02665087206
5.66,0.206040022,-0.0266528869
5.67,0.2056466349,-0.02665488057
5.68,0.2052543736,-0.02665685333
5.69,0.2048632336,-0.02665880541
5.7,0.2044732108,-0.02666073705
5.71,0.2040843008,-0.02666264848
5.72,0.2036964995,-0.02666453993
5.73,0.2033098026,-0.02666641163
5.74,0.202924206,-0.0266682638
5.75,0.2025397055,-0.02667009667
5.76,0.2021562968,-0.02667191046
5.77,0.201773976,-0.02667370537
5.78,0.2013927389,-0.02667548163
5.79,0.2010125813,-0.02667723945
5.8,0.2006334992,-0.02667897903
5.81,0.2002554887,-0.02668070059
5.82,0.1998785455,-0.02668240431
5.83,0.1995026657,-0.02668409042
5.84,0.1991278454,-0.0266857591
5.85,0.1987540804,-0.02668741055
5.86,0.198381367,-0.02668904496
5.87,0.198009701,-0.02669066253
5.88,0.1976390787,-0.02669226345
5.89,0.1972694961,-0.02669384789
5.9,0.1969009493,-0.02669541606
5.91,0.1965334344,-0.02669696812
5.92,0.1961669476,-0.02669850426
5.93,0.1958014851,-0.02670002466
5.94,0.1954370431,-0.02670152949
5.95,0.1950736176,-0.02670301893
5.96,0.1947112051,-0.02670449315
5.97,0.1943498017,-0.02670595231
5.98,0.1939894036,-0.02670739659
5.99,0.1936300072,-0.02670882615
6,0.1932716087,-0.02671024115
6.01,0.1929142044,-0.02671164176
6.02,0.1925577908,-0.02671302813
6.03,0.192202364,-0.02671440043
6.04,0.1918479204,-0.0267157588
6.05,0.1914944566,-0.02671710341
6.06,0.1911419687,-0.0267184344
6.07,0.1907904533,-0.02671975192
6.08,0.1904399068,-0.02672105613
6.09,0.1900903255,-0.02672234717
6.1,0.189741706,-0.02672362518
6.11,0.1893940448,-0.02672489031
6.12,0.1890473383,-0.02672614269
6.13,0.188701583,-0.02672738248
6.14,0.1883567755,-0.0267286098
6.15,0.1880129123,-0.0267298248
6.16,0.18766999,-0.02673102761
6.17,0.187328005,-0.02673221835
6.18,0.1869869541,-0.02673339718
6.19,0.1866468338,-0.0267345642
6.2,0.1863076407,-0.02673571956
6.21,0.1859693714,-0.02673686337
6.22,0.1856320227,-0.02673799577
6.23,0.1852955911,-0.02673911688
6.24,0.1849600734,-0.02674022682
6.25,0.1846254662,-0.02674132572
6.26,0.1842917663,-0.02674241369
6.27,0.1839589703,-0.02674349084
6.28,0.183627075,-0.02674455731
6.29,0.1832960772,-0.0267456132
6.3,0.1829659736,-0.02674665863
6.31,0.182636761,-0.02674769371
6.32,0.1823084362,-0.02674871855
6.33,0.181980996,-0.02674973326
6.34,0.1816544373,-0.02675073796
6.35,0.1813287568,-0.02675173275
6.36,0.1810039514,-0.02675271773
6.37,0.180680018,-0.02675369301
6.38,0.1803569535,-0.0267546587
6.39,0.1800347548,-0.0267556149
6.4,0.1797134188,-0.02675656171
6.41,0.1793929423,-0.02675749923
6.42,0.1790733224,-0.02675842756
6.43,0.1787545559,-0.02675934679
6.44,0.1784366399,-0.02676025703
6.45,0.1781195714,-0.02676115838
6.46,0.1778033472,-0.02676205092
6.47,0.1774879645,-0.02676293474
6.48,0.1771734201,-0.02676380995
6.49,0.1768597113,-0.02676467664
6.5,0.176546835,-0.02676553488
6.51,0.1762347882,-0.02676638478
6.52,0.1759235681,-0.02676722643
6.53,0.1756131716,-0.0267680599
6.54,0.175303596,-0.02676888529
6.55,0.1749948383,-0.02676970268
6.56,0.1746868957,-0.02677051215
6.57,0.1743797652,-0.02677131379
6.58,0.174073444,-0.02677210769
6.59,0.1737679294,-0.02677289392
6.6,0.1734632183,-0.02677367256
6.61,0.1731593081,-0.0267744437
6.62,0.172856196,-0.02677520741
6.63,0.172553879,-0.02677596377
6.64,0.1722523545,-0.02677671286
6.65,0.1719516197,-0.02677745475
6.66,0.1716516719,-0.02677818952
6.67,0.1713525082,-0.02677891725
6.68,0.171054126,-0.026779638
6.69,0.1707565225,-0.02678035185
6.7,0.1704596951,-0.02678105888
6.71,0.170163641,-0.02678175915
6.72,0.1698683575,-0.02678245273
6.73,0.169573842,-0.02678313969
6.74,0.1692800918,-0.02678382011
6.75,0.1689871043,-0.02678449404
6.76,0.1686948768,-0.02678516157
6.77,0.1684034068,-0.02678582275
6.78,0.1681126915,-0.02678647764
6.79,0.1678227283,-0.02678712632
6.8,0.1675335148,-0.02678776885
6.81,0.1672450483,-0.02678840529
6.82,0.1669573262,-0.02678903571
6.83,0.166670346,-0.02678966017
6.84,0.1663841051,-0.02679027872
6.85,0.166098601,-0.02679089143
6.86,0.1658138312,-0.02679149836
6.87,0.1655297931,-0.02679209957
6.88,0.1652464842,-0.02679269512
6.89,0.1649639021,-0.02679328507
6.9,0.1646820443,-0.02679386946
6.91,0.1644009082,-0.02679444837
6.92,0.1641204915,-0.02679502185
6.93,0.1638407916,-0.02679558994
6.94,0.1635618062,-0.02679615272
6.95,0.1632835328,-0.02679671022
6.96,0.1630059689,-0.02679726251
6.97,0.1627291123,-0.02679780964
6.98,0.1624529604,-0.02679835165
6.99,0.1621775108,-0.02679888861
7,0.1619027613,-0.02679942057
7.01,0.1616287094,-0.02679994757
7.02,0.1613553528,-0.02680046966
7.03,0.1610826891,-0.0268009869
7.04,0.1608107159,-0.02680149934
7.05,0.160539431,-0.02680200701
7.06,0.1602688321,-0.02680250998
7.07,0.1599989167,-0.02680300829
7.08,0.1597296827,-0.02680350198
7.09,0.1594611277,-0.0268039911
7.1,0.1591932494,-0.02680447571
7.11,0.1589260456,-0.02680495583
7.12,0.158659514,-0.02680543153
7.13,0.1583936524,-0.02680590283
7.14,0.1581284585,-0.0268063698
7.15,0.15786393,-0.02680683247
7.16,0.1576000648,-0.02680729088
7.17,0.1573368606,-0.02680774508
7.18,0.1570743153,-0.0268081951
7.19,0.1568124266,-0.026808641
7.2,0.1565511923,-0.02680908281
7.21,0.1562906103,-0.02680952057
7.22,0.1560306784,-0.02680995433
7.23,0.1557713945,-0.02681038412
7.24,0.1555127563,-0.02681080998
7.25,0.1552547617,-0.02681123195
7.26,0.1549974087,-0.02681165008
7.27,0.154740695,-0.02681206439
7.28,0.1544846186,-0.02681247493
7.29,0.1542291774,-0.02681288173
7.3,0.1539743692,-0.02681328484
7.31,0.153720192,-0.02681368428
7.32,0.1534666436,-0.0268140801
7.33,0.1532137221,-0.02681447232
7.34,0.1529614253,-0.026814861
7.35,0.1527097512,-0.02681524615
7.36,0.1524586978,-0.02681562782
7.37,0.152208263,-0.02681600604
7.38,0.1519584447,-0.02681638084
7.39,0.151709241,-0.02681675226
7.4,0.1514606498,-0.02681712032
7.41,0.1512126691,-0.02681748508
7.42,0.150965297,-0.02681784654
7.43,0.1507185314,-0.02681820476
7.44,0.1504723704,-0.02681855976
7.45,0.150226812,-0.02681891157
7.46,0.1499818542,-0.02681926022
7.47,0.149737495,-0.02681960574
7.48,0.1494937326,-0.02681994817
7.49,0.149250565,-0.02682028753
