t,T,a2
3.9,0.3020020703,-0.02764442424
3.91,0.3013043266,-0.02763538281
3.92,0.3006089969,-0.02762645607
3.93,0.2999160703,-0.02761764244
3.94,0.2992255356,-0.02760894036
3.95,0.2985373819,-0.02760034829
3.96,0.2978515984,-0.02759186472
3.97,0.297168174,-0.02758348815
3.98,0.2964870981,-0.02757521712
3.99,0.2958083598,-0.02756705016
4,0.2951319486,-0.02755898587
4.01,0.2944578538,-0.02755102283
4.02,0.2937860648,-0.02754315966
4.03,0.2931165713,-0.02753539499
4.04,0.2924493626,-0.02752772748
4.05,0.2917844285,-0.02752015581
4.06,0.2911217587,-0.02751267867
4.07,0.2904613429,-0.02750529477
4.08,0.2898031708,-0.02749800285
4.09,0.2891472324,-0.02749080165
4.1,0.2884935176,-0.02748368996
4.11,0.2878420163,-0.02747666656
4.12,0.2871927187,-0.02746973025
4.13,0.2865456146,-0.02746287987
4.14,0.2859006944,-0.02745611424
4.15,0.2852579481,-0.02744943222
4.16,0.2846173661,-0.0274428327
4.17,0.2839789387,-0.02743631456
4.18,0.2833426562,-0.0274298767
4.19,0.2827085089,-0.02742351806
4.2,0.2820764875,-0.02741723757
4.21,0.2814465824,-0.02741103418
4.22,0.2808187842,-0.02740490686
4.23,0.2801930834,-0.0273988546
4.24,0.2795694709,-0.02739287639
4.25,0.2789479373,-0.02738697125
4.26,0.2783284733,-0.0273811382
4.27,0.2777110699,-0.02737537629
4.28,0.2770957178,-0.02736968457
4.29,0.2764824081,-0.02736406211
4.3,0.2758711317,-0.02735850799
4.31,0.2752618796,-0.02735302131
4.32,0.274654643,-0.02734760117
4.33,0.2740494129,-0.02734224669
4.34,0.2734461805,-0.02733695701
4.35,0.2728449371,-0.02733173128
4.36,0.2722456739,-0.02732656865
4.37,0.2716483823,-0.02732146829
4.38,0.2710530536,-0.02731642939
4.39,0.2704596792,-0.02731145113
4.4,0.2698682505,-0.02730653273
4.41,0.2692787592,-0.02730167339
4.42,0.2686911968,-0.02729687235
4.43,0.2681055548,-0.02729212885
4.44,0.2675218249,-0.02728744212
4.45,0.2669399988,-0.02728281144
4.46,0.2663600682,-0.02727823607
