t,T_mean_C,T_skin_C,T_bulk_C,enthalpy_J,mass_kg,rms_dist_to_bath_C
1680,-17.96172099,-17.97422919,-17.96128967,-7363.500491,0.09866562758,0.03920299051
1690,-17.96378129,-17.97561993,-17.96337306,-7364.336978,0.09866551204,0.03709357457
1700,-17.96573319,-17.97693732,-17.96534684,-7365.129456,0.09866540256,0.03509510502
1710,-17.96758229,-17.97818517,-17.96721667,-7365.880191,0.09866529883,0.03320186661
1720,-17.96933389,-17.97936706,-17.96898791,-7366.591338,0.09866520056,0.03140843274
1730,-17.97099301,-17.98048641,-17.97066566,-7367.264941,0.09866510746,0.02970965114
1740,-17.97256445,-17.98154646,-17.97225473,-7367.902941,0.09866501927,0.02810063028
1750,-17.97405274,-17.98255028,-17.97375972,-7368.50718,0.09866493574,0.02657672644
1760,-17.97546219,-17.9835008,-17.97518499,-7369.079408,0.09866485662,0.02513353138
1770,-17.97679688,-17.98440078,-17.97653468,-7369.621284,0.09866478169,0.02376686065
1780,-17.9780607,-17.98525285,-17.97781269,-7370.134385,0.09866471073,0.02247274247
1790,-17.97925732,-17.98605951,-17.97902277,-7370.620207,0.09866464354,0.02124740707
1800,-17.98039026,-17.98682313,-17.98016843,-7371.080168,0.09866457992,0.02008727667
1810,-17.98146281,-17.98754595,-17.98125305,-7371.515615,0.09866451968,0.01898895589
1820,-17.98247814,-17.9882301,-17.9822798,-7371.927828,0.09866446266,0.01794922261
1830,-17.98343923,-17.98887762,-17.98325169,-7372.318019,0.09866440867,0.0169650193
1840,-17.9843489,-17.98949041,-17.98417161,-7372.687338,0.09866435757,0.01603344479
1850,-17.98520987,-17.9900703,-17.98504226,-7373.036879,0.09866430921,0.01515174644
1860,-17.98602466,-17.99061902,-17.98586623,-7373.367676,0.09866426343,0.01431731265
1870,-17.98679571,-17.9911382,-17.98664597,-7373.680713,0.09866422011,0.01352766581
1880,-17.98752531,-17.99162939,-17.98738379,-7373.976921,0.09866417911,0.01278045554
1890,-17.98821564,-17.99209408,-17.9880819,-7374.257186,0.09866414032,0.01207345228
1900,-17.98886877,-17.99253366,-17.98874239,-7374.522347,0.09866410362,0.01140454121
1910,-17.98948665,-17.99294945,-17.98936724,-7374.773198,0.09866406889,0.01077171646
1920,-17.99007114,-17.99334272,-17.98995833,-7375.010494,0.09866403605,0.01017307563
1930,-17.99062401,-17.99371465,-17.99051744,-7375.234952,0.09866400497,0.009606814495
1940,-17.99114693,-17.99406637,-17.99104626,-7375.447249,0.09866397558,0.009071222104
1950,-17.99164148,-17.99439896,-17.99154639,-7375.648029,0.09866394778,0.008564676016
1960,-17.99210917,-17.99471344,-17.99201936,-7375.837903,0.09866392149,0.008085637824
1970,-17.99255141,-17.99501075,-17.99246661,-7376.017448,0.09866389664,0.007632648886
1980,-17.99296957,-17.99529183,-17.99288949,-7376.187214,0.09866387313,0.00720432627
1990,-17.99336492,-17.99555754,-17.99328931,-7376.34772,0.0986638509,0.006799358905
2000,-17.99373867,-17.99580869,-17.99366729,-7376.499459,0.09866382989,0.006416503919
2010,-17.99409198,-17.99604606,-17.9940246,-7376.642898,0.09866381003,0.006054583162
2020,-17.99442594,-17.99627039,-17.99436234,-7376.778481,0.09866379125,0.005712479904
2030,-17.99474158,-17.99648238,-17.99468156,-7376.906627,0.09866377351,0.005389135696
2040,-17.99503988,-17.99668269,-17.99498324,-7377.027733,0.09866375674,0.005083547393
2050,-17.99532178,-17.99687194,-17.99526832,-7377.142177,0.09866374089,0.004794764318
2060,-17.99558814,-17.99705074,-17.9955377,-7377.250317,0.09866372591,0.004521885573
2070,-17.9958398,-17.99721964,-17.99579222,-7377.352489,0.09866371176,0.00426405749
2080,-17.99607756,-17.99737918,-17.99603268,-7377.449017,0.09866369839,0.004020471203
2090,-17.99630217,-17.99752986,-17.99625983,-7377.540202,0.09866368576,0.003790360342
2100,-17.99651432,-17.99767217,-17.99647439,-7377.626334,0.09866367383,0.003572998849
2110,-17.9967147,-17.99780655,-17.99667705,-7377.707684,0.09866366256,0.003367698902
2120,-17.99690393,-17.99793343,-17.99686843,-7377.784511,0.09866365192,0.003173808938
2130,-17.99708263,-17.99805323,-17.99704916,-7377.857061,0.09866364187,0.002990711789
2140,-17.99725136,-17.99816632,-17.99721981,-7377.925564,0.09866363238,0.002817822894
2150,-17.99741067,-17.99827307,-17.99738093,-7377.99024,0.09866362343,0.002654588623
2160,-17.99756106,-17.99837383,-17.99753303,-7378.051298,0.09866361497,0.002500484666
2170,-17.99770302,-17.99846892,-17.99767661,-7378.108933,0.09866360698,0.002355014518
2180,-17.99783702,-17.99855865,-17.99781213,-7378.163333,0.09866359945,0.002217708031
2190,-17.99796347,-17.99864332,-17.99794003,-7378.214673,0.09866359234,0.002088120051
2200,-17.99808281,-17.9987232,-17.99806072,-7378.263122,0.09866358563,0.001965829112
2210,-17.99819541,-17.99879856,-17.99817461,-7378.308836,0.09866357929,0.001850436204
2220,-17.99830164,-17.99886964,-17.99828206,-7378.351967,0.09866357332,0.001741563605
2230,-17.99840186,-17.99893669,-17.99838342,-7378.392655,0.09866356768,0.001638853766
2240,-17.99849639,-17.99899991,-17.99847903,-7378.431035,0.09866356237,0.001541968257
2250,-17.99858556,-17.99905953,-17.99856921,-7378.467233,0.09866355735,0.001450586773
2260,-17.99866964,-17.99911574,-17.99865426,-7378.501371,0.09866355262,0.001364406176
2270,-17.99874893,-17.99916873,-17.99873445,-7378.533561,0.09866354816,0.001283139602
2280,-17.99882368,-17.99921868,-17.99881006,-7378.563912,0.09866354396,0.001206515605
2290,-17.99889416,-17.99926575,-17.99888134,-7378.592524,0.09866353999,0.001134277343
2300,-17.99896059,-17.99931012,-17.99894854,-7378.619495,0.09866353626,0.001066181817
2310,-17.9990232,-17.99935192,-17.99901187,-7378.644916,0.09866353274,0.001001999136
2320,-17.99908221,-17.99939131,-17.99907155,-7378.668872,0.09866352942,0.0009415118271
2330,-17.99913781,-17.99942841,-17.99912779,-7378.691445,0.09866352629,0.0008845141833
2340,-17.99919019,-17.99946336,-17.99918077,-7378.712713,0.09866352334,0.0008308116378
2350,-17.99923954,-17.99949627,-17.99923069,-7378.732748,0.09866352057,0.0007802201767
2360,-17.99928602,-17.99952726,-17.9992777,-7378.75162,0.09866351795,0.0007325657796
2370,-17.9993298,-17.99955644,-17.99932198,-7378.769393,0.09866351549,0.0006876838893
2380,-17.99937102,-17.99958391,-17.99936368,-7378.786129,0.09866351317,0.00064541891
2390,-17.99940983,-17.99960977,-17.99940294,-7378.801887,0.09866351099,0.0006056237304
2400,-17.99944637,-17.9996341,-17.9994399,-7378.816722,0.09866350893,0.0005681592726
