t,D_L1,D_KL,D_e
30.8,0.5136375091,0.2384358268,0.2384358268
30.9,0.513545636,0.2380321111,0.2380321111
31,0.5134549983,0.237634441,0.237634441
31.1,0.5133655793,0.237242727,0.237242727
31.2,0.5132773628,0.2368568807,0.2368568807
31.3,0.5131903325,0.236476815,0.236476815
31.4,0.5131044725,0.2361024443,0.2361024443
31.5,0.513019767,0.2357336841,0.2357336841
31.6,0.5129362006,0.2353704511,0.2353704511
31.7,0.5128537579,0.2350126634,0.2350126634
31.8,0.5127724237,0.2346602401,0.2346602401
31.9,0.5126921833,0.2343131015,0.2343131015
32,0.5126130218,0.2339711694,0.2339711694
32.1,0.5125349248,0.2336343664,0.2336343664
32.2,0.512457878,0.2333026163,0.2333026163
32.3,0.5123818671,0.2329758441,0.2329758441
32.4,0.5123068785,0.232653976,0.232653976
32.5,0.5122328981,0.232336939,0.232336939
32.6,0.5121599126,0.2320246614,0.2320246614
32.7,0.5120879085,0.2317170725,0.2317170725
32.8,0.5120168726,0.2314141026,0.2314141026
32.9,0.5119467919,0.2311156832,0.2311156832
33,0.5118776536,0.2308217466,0.2308217466
33.1,0.511809445,0.2305322261,0.2305322261
33.2,0.5117421536,0.2302470561,0.2302470561
33.3,0.511675767,0.229966172,0.229966172
33.4,0.5116102731,0.22968951,0.22968951
33.5,0.5115456599,0.2294170074,0.2294170074
33.6,0.5114819156,0.2291486022,0.2291486022
33.7,0.5114190284,0.2288842335,0.2288842335
33.8,0.5113569868,0.2286238413,0.2286238413
33.9,0.5112957796,0.2283673665,0.2283673665
34,0.5112353953,0.2281147507,0.2281147507
34.1,0.5111758231,0.2278659365,0.2278659365
34.2,0.5111170518,0.2276208673,0.2276208673
34.3,0.5110590709,0.2273794873,0.2273794873
34.4,0.5110018697,0.2271417418,0.2271417418
34.5,0.5109454376,0.2269075764,0.2269075764
34.6,0.5108897643,0.226676938,0.226676938
34.7,0.5108348397,0.226449774,0.226449774
34.8,0.5107806537,0.2262260326,0.2262260326
34.9,0.5107271962,0.2260056629,0.2260056629
35,0.5106744577,0.2257886146,0.2257886146
35.1,0.5106224282,0.2255748382,0.2255748382
35.2,0.5105710984,0.2253642849,0.2253642849
35.3,0.5105204589,0.2251569068,0.2251569068
35.4,0.5104705003,0.2249526564,0.2249526564
35.5,0.5104212134,0.2247514872,0.2247514872
35.6,0.5103725893,0.2245533532,0.2245533532
35.7,0.5103246191,0.2243582091,0.2243582091
35.8,0.5102772939,0.2241660103,0.2241660103
35.9,0.5102306051,0.2239767129,0.2239767129
36,0.5101845441,0.2237902737,0.2237902737
36.1,0.5101391024,0.2236066499,0.2236066499
36.2,0.5100942719,0.2234257995,0.2234257995
36.3,0.5100500441,0.2232476812,0.2232476812
36.4,0.5100064111,0.2230722541,0.2230722541
36.5,0.5099633648,0.2228994781,0.2228994781
36.6,0.5099208973,0.2227293136,0.2227293136
36.7,0.5098790009,0.2225617216,0.2225617216
36.8,0.5098376679,0.2223966636,0.2223966636
36.9,0.5097968906,0.2222341018,0.2222341018
37,0.5097566617,0.2220739989,0.2220739989
37.1,0.5097169737,0.2219163182,0.2219163182
37.2,0.5096778195,0.2217610234,0.2217610234
37.3,0.5096391917,0.221608079,0.221608079
37.4,0.5096010833,0.2214574496,0.2214574496
37.5,0.5095634874,0.2213091009,0.2213091009
37.6,0.509526397,0.2211629985,0.2211629985
37.7,0.5094898054,0.221019109,0.221019109
37.8,0.5094537058,0.2208773992,0.2208773992
37.9,0.5094180917,0.2207378365,0.2207378365
38,0.5093829564,0.2206003889,0.2206003889
38.1,0.5093482936,0.2204650245,0.2204650245
38.2,0.5093140969,0.2203317123,0.2203317123
