t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
1.136000000000000000e+03,1.021867466299543503e+00,2.043734932599087006e+00,3.065602398898636061e+00,4.087469865198174013e+00
1.136500000000000000e+03,1.020447013530509262e+00,2.040894027061018523e+00,3.061341040591533336e+00,4.081788054122037046e+00
1.137000000000000000e+03,1.019028535270056102e+00,2.038057070540112203e+00,3.057085605810173856e+00,4.076114141080224407e+00
1.137500000000000000e+03,1.017612028773484001e+00,2.035224057546968002e+00,3.052836086320454889e+00,4.070448115093936003e+00
1.138000000000000000e+03,1.016197491299952516e+00,2.032394982599905031e+00,3.048592473899862654e+00,4.064789965199810062e+00
1.138500000000000000e+03,1.014784920112389077e+00,2.029569840224778154e+00,3.044354760337169896e+00,4.059139680449556309e+00
1.139000000000000000e+03,1.013374312477568040e+00,2.026748624955136080e+00,3.040122937432711225e+00,4.053497249910272160e+00
1.139500000000000000e+03,1.011965665666020087e+00,2.023931331332040173e+00,3.035896996998066033e+00,4.047862662664080347e+00
1.140000000000000000e+03,1.010558976952115051e+00,2.021117953904230102e+00,3.031676930856345820e+00,4.042235907808460205e+00
1.140500000000000000e+03,1.009154243613962221e+00,2.018308487227924441e+00,3.027462730841887328e+00,4.036616974455848883e+00
1.141000000000000000e+03,1.007751462933505593e+00,2.015502925867011186e+00,3.023254388800523440e+00,4.031005851734022372e+00
1.141500000000000000e+03,1.006350632196417072e+00,2.012701264392834144e+00,3.019051896589255879e+00,4.025402528785668288e+00
1.142000000000000000e+03,1.004951748692190838e+00,2.009903497384381676e+00,3.014855246076574513e+00,4.019806994768763353e+00
1.142500000000000000e+03,1.003554809714042317e+00,2.007109619428084635e+00,3.010664429142129617e+00,4.014219238856169270e+00
1.143000000000000000e+03,1.002159812558993890e+00,2.004319625117987780e+00,3.006479437676982780e+00,4.008639250235975560e+00
1.143500000000000000e+03,1.000766754527780078e+00,2.001533509055560156e+00,3.002300263583341788e+00,4.003067018111120312e+00
1.144000000000000000e+03,9.993756329249335879e-01,1.998751265849867176e+00,2.998126898774802207e+00,3.997502531699734352e+00
1.144500000000000000e+03,9.979864450586886093e-01,1.995972890117377219e+00,2.993959335176069825e+00,3.991945780234754437e+00
1.145000000000000000e+03,9.965991882410651925e-01,1.993198376482130385e+00,2.989797564723204459e+00,3.986396752964260770e+00
1.145500000000000000e+03,9.952138597877769888e-01,1.990427719575553978e+00,2.985641579363337517e+00,3.980855439151107955e+00
1.146000000000000000e+03,9.938304570183112974e-01,1.987660914036622595e+00,2.981491371054943329e+00,3.975321828073245189e+00
1.146500000000000000e+03,9.924489772558378053e-01,1.984897954511675611e+00,2.977346931767525628e+00,3.969795909023351221e+00
1.147000000000000000e+03,9.910694178272928534e-01,1.982138835654585707e+00,2.973208253481884888e+00,3.964277671309171414e+00
1.147500000000000000e+03,9.896917760632820693e-01,1.979383552126564139e+00,2.969075328189853202e+00,3.958767104253128277e+00
1.148000000000000000e+03,9.883160492981678535e-01,1.976632098596335707e+00,2.964948147894503894e+00,3.953264197192671414e+00
1.148500000000000000e+03,9.869422348699715686e-01,1.973884469739943137e+00,2.960826704609920146e+00,3.947768939479886274e+00
1.149000000000000000e+03,9.855703301204600253e-01,1.971140660240920051e+00,2.956710990361382851e+00,3.942281320481840101e+00
1.149500000000000000e+03,9.842003323950527793e-01,1.968400664790105559e+00,2.952600997185165888e+00,3.936801329580211117e+00
